sample_id,hole_id,from_depth,to_depth,lithology,Au_ppm,Cu_pct,Ag_ppm,Fe_pct,S_pct,sample_quality,assay_date
ASY-0001,DH-03,203,206,Schist,1.603,2.832,4.27,11.74,2.84,Good,2024-01-19
ASY-0002,DH-04,204,207,Granite,3.336,1.703,14.47,8.94,1.0,Fair,2024-03-09
ASY-0003,DH-05,40,44,Gneiss,2.854,1.708,1.72,4.35,1.46,Rejected,2024-12-14
ASY-0004,DH-05,357,361,Schist,4.559,2.69,3.71,8.69,1.18,Rejected,2024-05-18
ASY-0005,DH-04,64,67,Granite,2.203,2.884,1.21,7.43,3.89,Fair,2024-01-02
ASY-0006,DH-04,437,441,Granite,4.499,1.73,8.87,9.21,3.29,Rejected,2024-01-09
ASY-0007,DH-05,345,347,Schist,,1.302,11.42,7.77,1.74,Good,2024-02-06
ASY-0008,DH-02,147,150,Basalt,0.231,2.116,10.06,11.39,0.47,Good,2024-06-23
ASY-0009,DH-05,34,35,Granite,0.212,2.137,7.78,9.35,1.21,Fair,2024-10-19
ASY-0010,DH-01,102,105,Gneiss,3.78,2.243,14.79,6.89,1.82,Rejected,2024-02-11
ASY-0011,DH-01,85,86,Schist,1.605,2.535,9.7,7.71,1.85,Good,2024-11-27
ASY-0012,DH-05,194,198,Basalt,4.588,0.171,9.86,7.66,2.36,Rejected,2024-06-07
ASY-0013,DH-04,127,130,Granite,1.613,,9.09,8.28,3.75,Rejected,2024-01-26
ASY-0014,DH-01,286,290,Quartzite,1.575,1.137,10.47,11.3,3.85,Fair,2024-03-06
ASY-0015,DH-04,143,147,Gneiss,3.171,0.307,8.86,8.81,1.21,Rejected,2024-05-22
ASY-0016,DH-02,218,222,Quartzite,1.914,2.424,8.5,8.63,3.6,Good,2024-11-02
ASY-0017,DH-05,265,267,Quartzite,2.432,2.1,,3.33,0.77,Rejected,2024-12-18
ASY-0018,DH-01,408,411,Gneiss,4.242,1.699,5.1,10.73,1.68,Fair,2024-07-02
ASY-0019,DH-03,61,63,Schist,,0.862,6.21,6.72,0.88,Good,2024-07-04
ASY-0020,DH-01,166,170,Schist,5.743,2.574,4.31,4.95,3.91,Good,2024-11-03
ASY-0021,DH-04,199,200,Granite,4.405,2.28,2.59,11.08,3.59,Good,2024-12-23
ASY-0022,DH-04,293,296,Gneiss,5.295,0.664,11.66,11.39,2.92,Fair,2024-10-08
ASY-0023,DH-03,395,398,Granite,1.526,0.617,14.74,3.72,2.08,Rejected,2024-03-23
ASY-0024,DH-01,146,147,Basalt,0.356,2.537,8.14,9.48,2.76,Good,2024-04-09
ASY-0025,DH-03,221,222,Granite,4.86,0.617,11.97,9.76,0.78,Good,2024-12-13
ASY-0026,DH-02,169,173,Quartzite,2.376,,9.11,4.25,0.74,Good,2024-01-18
